id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
55,VL/F5/QR/202627/00043,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
56,VL/F5/QR/202627/00044,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
57,VL/F5/QR/202627/00045,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
58,VL/F5/QR/202627/00046,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
59,VL/F5/QR/202627/00047,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
60,VL/F5/QR/202627/00048,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
61,VL/F5/QR/202627/00049,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
62,VL/F5/QR/202627/00050,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
63,VL/F5/QR/202627/00051,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
64,VL/F5/QR/202627/00052,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
65,VL/F5/QR/202627/00053,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
66,VL/F5/QR/202627/00054,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
67,VL/F5/QR/202627/00055,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
68,VL/F5/QR/202627/00056,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
69,VL/F5/QR/202627/00057,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
70,VL/F5/QR/202627/00058,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
71,VL/F5/QR/202627/00059,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
72,VL/F5/QR/202627/00060,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
73,VL/F5/QR/202627/00061,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
74,VL/F5/QR/202627/00062,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
75,VL/F5/QR/202627/00063,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
76,VL/F5/QR/202627/00064,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
77,VL/F5/QR/202627/00065,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
78,VL/F5/QR/202627/00066,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
79,VL/F5/QR/202627/00067,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
80,VL/F5/QR/202627/00068,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
81,VL/F5/QR/202627/00069,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
82,VL/F5/QR/202627/00070,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
83,VL/F5/QR/202627/00071,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
84,VL/F5/QR/202627/00072,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
85,VL/F5/QR/202627/00073,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
