id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
67,VL/F1/QR/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
68,VL/F1/QR/202627/00005,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
69,VL/F1/QR/202627/00006,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
70,VL/F1/QR/202627/00007,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
71,VL/F1/QR/202627/00008,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
72,VL/F1/QR/202627/00009,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
73,VL/F1/QR/202627/00010,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
74,VL/F1/QR/202627/00011,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
75,VL/F3/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
76,VL/F3/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
77,VL/F3/QR/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
78,VL/F2/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
79,VL/F3/QR/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
80,VL/F1/QR/202627/00012,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
81,VL/F3/QR/202627/00005,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
82,VL/F1/QR/202627/00013,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
83,VL/F3/QR/202627/00006,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
84,VL/F3/QR/202627/00007,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
85,VL/F3/QR/202627/00008,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
86,VL/F3/QR/202627/00009,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
87,VL/F2/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
88,VL/F3/QR/202627/00010,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
89,VL/F3/QR/202627/00011,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
90,VL/F3/QR/202627/00012,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
91,VL/F3/QR/202627/00013,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
92,VL/F3/QR/202627/00014,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
93,VL/F1/QR/202627/00014,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
94,VL/F1/QR/202627/00015,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
95,VL/F3/QR/202627/00015,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
96,VL/F3/QR/202627/00016,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
97,VL/F1/QR/202627/00016,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
98,VL/F3/QR/202627/00017,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
99,VL/F3/QR/202627/00018,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
100,VL/F3/QR/202627/00019,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
101,VL/F3/QR/202627/00020,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
102,VL/F3/QR/202627/00021,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
103,VL/F3/QR/202627/00022,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
104,VL/F1/QR/202627/00017,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
105,VL/F3/QR/202627/00023,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
106,VL/F3/QR/202627/00024,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
107,VL/F3/QR/202627/00025,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
108,VL/F3/QR/202627/00026,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
109,VL/F3/QR/202627/00027,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
110,VL/F3/QR/202627/00028,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
111,VL/F3/QR/202627/00029,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
112,VL/F3/QR/202627/00030,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
